date,state,positive,negative,death,hospitalized
20200724,California,435334,6480542,8186,
20200723,California,425616,6352688,8027,
20200722,California,413576,6250843,7870,
20200721,California,400769,6136163,7755,
20200720,California,391538,6022783,7694,
20200719,California,384692,5902160,7685,
20200718,California,375363,5791855,7595,
20200717,California,366164,5677935,7475,
20200716,California,356178,5559330,7345,
20200715,California,347634,5445642,7227,
20200714,California,336508,5338447,7087,
20200713,California,329162,5215203,7040,
20200712,California,320804,5085795,7017,
20200711,California,312344,4963351,6945,
20200710,California,304297,4871440,6851,
20200709,California,296499,4781935,6711,
20200708,California,289468,4706707,6562,
20200707,California,277774,4618596,6448,
20200706,California,271684,4521669,6337,
20200705,California,265985,4414153,6331,
20200704,California,257388,4295643,6313,
20200703,California,248235,4199941,6263,
20200702,California,242547,4096171,6163,
20200701,California,236139,4018037,6090,
20200630,California,228732,3938407,5980,
20200629,California,219252,3842440,5936,
20200628,California,211243,3744709,5905,
20200627,California,206433,3655877,5872,
20200626,California,200461,3570853,5812,
20200625,California,195571,3498774,5733,
20200624,California,190222,3402677,5632,
20200623,California,183073,3313856,5580,
20200622,California,178054,3233632,5515,
20200621,California,173824,3145432,5495,
20200620,California,169309,3065103,5424,
20200619,California,165416,2990286,5360,
20200618,California,161099,2913431,5290,
20200617,California,157015,2840973,5208,
20200616,California,153560,2784195,5121,
20200615,California,151452,2716730,5089,
20200614,California,148855,2653141,5063,
20200613,California,145643,2578750,4989,
20200612,California,141983,2520275,4943,
20200611,California,139281,2458366,4881,
20200610,California,136191,2404607,4776,
20200609,California,133489,2352756,4697,
20200608,California,131319,2299871,4653,
20200607,California,128812,2233406,4626,
20200606,California,126016,2182284,4559,
20200605,California,122901,2115562,4485,
20200604,California,119807,2062864,4422,
20200603,California,117687,2013607,4361,
20200602,California,115310,1956281,4286,
20200601,California,113006,1899577,4251,
20200531,California,110583,1834265,4213,
20200530,California,106878,1781717,4156,
20200529,California,103886,1731592,4068,
20200528,California,101697,1688862,3973,
20200527,California,98980,1637914,3884,
20200526,California,96733,1599663,3814,
20200525,California,94558,1549544,3795,
20200524,California,92710,1490035,3774,
20200523,California,90631,1424675,3708,
20200522,California,88444,1378329,3630,
20200521,California,86197,1334930,3542,
20200520,California,84057,1296063,3436,
20200519,California,81795,1257521,3334,
20200518,California,80430,1212242,3302,
20200517,California,78839,1156404,3261,
20200516,California,76793,1102333,3204,
20200515,California,74936,1058970,3108,
20200514,California,73164,1031487,3032,
20200513,California,71141,994451,2934,
20200512,California,69382,963988,2847,
20200511,California,67939,923958,2770,
20200510,California,66680,888984,2745,
20200509,California,64561,848009,2678,
20200508,California,62512,812760,2585,
20200507,California,60614,782260,2504,
20200506,California,58815,750221,2412,
20200505,California,56212,723690,2317,
20200504,California,54937,692937,2254,
20200503,California,53616,662135,2215,
20200502,California,52197,634606,2171,
20200501,California,50442,604543,2073,
20200430,California,48917,576420,1982,
20200429,California,46500,556639,1887,
20200428,California,45031,532577,1809,
20200427,California,43464,509945,1755,
20200426,California,42164,483920,1710,
20200425,California,41137,464898,1651,
20200424,California,39254,454919,1562,
20200423,California,37369,444728,1469,
20200422,California,35396,429931,1354,
20200421,California,33261,266839,1268,
20200420,California,30978,259522,1208,
20200419,California,30333,250567,1166,
20200418,California,28963,230703,1072,
20200417,California,27528,224086,985,
20200416,California,26182,220218,890,
20200415,California,24424,192062,821,
20200414,California,23338,178870,758,
20200413,California,22348,168534,687,
20200412,California,21794,168534,651,
20200411,California,20615,152604,609,
20200410,California,19472,145391,541,
20200409,California,18309,145191,492,
20200408,California,16957,127307,442,
20200407,California,15865,115364,374,
20200406,California,14336,103095,343,
20200405,California,13438,103095,319,
20200404,California,12026,101674,276,
20200403,California,10701,24599,237,
20200402,California,9191,23809,203,
20200401,California,8155,21772,171,
20200331,California,7482,21772,153,
20200330,California,6447,20549,133,
20200329,California,5708,20549,123,
20200328,California,4643,20549,101,
20200327,California,3879,17380,78,
20200326,California,3006,17380,65,
20200325,California,2355,15921,53,
20200324,California,2102,13452,40,
20200323,California,1733,12567,27,
20200322,California,1536,11304,27,
20200321,California,1279,11249,24,
20200320,California,1063,10424,20,
20200319,California,924,8787,18,
20200318,California,611,7981,13,
20200317,California,483,7981,11,
20200316,California,335,7981,6,