date,state,positive,new_positive,negative,death,new_death,hospitalized
20200724,Alaska,2748,64,197824,19,0,
20200723,Alaska,2684,65,186825,19,0,
20200722,Alaska,2619,94,182714,19,1,
20200721,Alaska,2525,111,176101,18,0,
20200720,Alaska,2414,137,173172,18,0,
20200719,Alaska,2277,118,170733,18,0,
20200718,Alaska,2159,78,166204,18,1,
20200717,Alaska,2081,49,163333,17,0,
20200716,Alaska,2032,401,160990,17,0,
20200715,Alaska,1631,52,154462,17,0,
20200714,Alaska,1579,40,147894,17,0,
20200713,Alaska,1539,60,145051,17,0,
20200712,Alaska,1479,94,143996,17,0,
20200711,Alaska,1385,62,141991,17,0,
20200710,Alaska,1323,51,140608,17,0,
20200709,Alaska,1272,46,134472,17,0,
20200708,Alaska,1226,42,132175,17,0,
20200707,Alaska,1184,46,130236,17,1,
20200706,Alaska,1138,0,122615,16,0,
20200705,Alaska,1138,27,122615,16,0,
20200704,Alaska,1111,48,121621,16,1,
20200703,Alaska,1063,46,119145,15,1,
20200702,Alaska,1017,39,114892,14,0,
20200701,Alaska,978,38,113422,14,0,
20200630,Alaska,940,36,111245,14,0,
20200629,Alaska,904,21,107805,14,0,
20200628,Alaska,883,29,107417,14,0,
20200627,Alaska,854,18,104727,14,0,
20200626,Alaska,836,20,100956,14,2,
20200625,Alaska,816,24,98636,12,0,
20200624,Alaska,792,14,95304,12,0,
20200623,Alaska,778,17,92169,12,0,
20200622,Alaska,761,6,90063,12,0,
20200621,Alaska,755,12,87296,12,0,
20200620,Alaska,743,21,86175,12,0,
20200619,Alaska,722,14,82909,12,0,
20200618,Alaska,708,12,80477,12,0,
20200617,Alaska,696,20,77013,12,0,
20200616,Alaska,676,12,75539,12,0,
20200615,Alaska,664,3,73773,12,0,
20200614,Alaska,661,7,72806,12,0,
20200613,Alaska,654,29,71149,12,0,
20200612,Alaska,625,14,70255,12,1,
20200611,Alaska,611,18,68400,11,0,
20200610,Alaska,593,20,67127,11,0,
20200609,Alaska,573,10,66317,11,1,
20200608,Alaska,563,19,65349,10,0,
20200607,Alaska,544,8,64360,10,0,
20200606,Alaska,536,12,63365,10,0,48
20200605,Alaska,524,11,60466,10,0,
20200604,Alaska,513,8,59584,10,0,
20200603,Alaska,505,18,57677,10,0,
20200602,Alaska,487,20,55716,10,0,
20200601,Alaska,467,33,53723,10,0,
20200531,Alaska,434,0,51261,10,0,
20200530,Alaska,434,4,51261,10,0,
20200529,Alaska,430,5,49009,10,0,
20200528,Alaska,425,13,47545,10,0,
20200527,Alaska,412,1,45951,10,0,
20200526,Alaska,411,2,44553,10,0,
20200525,Alaska,409,1,44063,10,0,
20200524,Alaska,408,0,43099,10,0,
20200523,Alaska,408,4,41943,10,0,
20200522,Alaska,404,2,41042,10,0,
20200521,Alaska,402,0,39143,10,0,
20200520,Alaska,402,3,36643,10,0,
20200519,Alaska,399,0,35981,10,0,
20200518,Alaska,399,3,35212,10,0,
20200517,Alaska,396,4,34255,10,0,
20200516,Alaska,392,4,32889,10,0,
20200515,Alaska,388,1,32030,10,0,
20200514,Alaska,387,4,31375,10,0,
20200513,Alaska,383,0,30266,10,0,
20200512,Alaska,383,2,29578,10,0,
20200511,Alaska,381,2,28299,10,0,
20200510,Alaska,379,1,26985,10,0,
20200509,Alaska,378,1,26071,10,0,
20200508,Alaska,377,3,25096,10,0,
20200507,Alaska,374,2,23967,10,0,
20200506,Alaska,372,1,23283,10,1,
20200505,Alaska,371,1,22321,9,0,
20200504,Alaska,370,2,21353,9,0,
20200503,Alaska,368,3,21210,9,0,
20200502,Alaska,365,1,21034,9,0,
20200501,Alaska,364,9,19961,9,0,
20200430,Alaska,355,0,18764,9,0,
20200429,Alaska,355,4,18764,9,0,
20200428,Alaska,351,6,16738,9,0,
20200427,Alaska,345,4,15911,9,0,
20200426,Alaska,341,2,15836,9,0,
20200425,Alaska,339,0,15393,9,0,
20200424,Alaska,339,2,11942,9,0,
20200423,Alaska,337,2,11824,9,0,
20200422,Alaska,335,6,11824,9,0,36
20200421,Alaska,329,8,10790,9,0,36
20200420,Alaska,321,2,9803,9,0,36
20200419,Alaska,319,5,9576,9,0,36
20200418,Alaska,314,5,9341,9,0,36
20200417,Alaska,309,9,9141,9,0,36
20200416,Alaska,300,7,8435,9,0,35
20200415,Alaska,293,8,8371,9,0,34
20200414,Alaska,285,8,8063,9,1,32
20200413,Alaska,277,5,7553,8,0,32
20200412,Alaska,272,15,7766,8,0,31
20200411,Alaska,257,11,7475,8,1,31
20200410,Alaska,246,11,7186,7,0,28
20200409,Alaska,235,9,6988,7,0,27
20200408,Alaska,226,13,6842,7,1,27
20200407,Alaska,213,22,6700,6,0,23
20200406,Alaska,191,6,6692,6,0,23
20200405,Alaska,185,14,6099,6,1,20
20200404,Alaska,171,14,5869,5,2,16
20200403,Alaska,157,14,5859,3,0,15
20200402,Alaska,143,10,4879,3,0,9
20200401,Alaska,133,14,4470,3,0,9
20200331,Alaska,119,5,3594,3,0,7
20200330,Alaska,114,12,3540,3,1,7
20200329,Alaska,102,17,3232,2,0,6
20200328,Alaska,85,16,2836,2,1,5
20200327,Alaska,69,10,2319,1,0,3
20200326,Alaska,59,17,1801,1,0,3
20200325,Alaska,42,6,1649,1,1,1
20200324,Alaska,36,14,986,0,0,0
20200323,Alaska,22,0,946,0,0,0
20200322,Alaska,22,8,946,0,0,0
20200321,Alaska,14,2,758,0,0,0
20200320,Alaska,12,6,686,0,0,
20200319,Alaska,6,0,432,0,0,
20200318,Alaska,6,3,406,0,0,
20200317,Alaska,3,2,334,0,0,
20200316,Alaska,1,1,143,0,0,